Event	ID	Name			Wwise Object Path	Notes
	755517494	M4_Reload			\Default Work Unit\Weapon\M4_Reload	
	881992129	M4_Stop			\Default Work Unit\Weapon\M4_Stop	
	2059328811	M4_Play			\Default Work Unit\Weapon\M4_Play	

Switch Group	ID	Name			Wwise Object Path	Notes
	3122859639	tail			\Default Work Unit\tail	

Switch	ID	Name	Switch Group			Notes
	645492555	out	tail			
	2077253480	room	tail			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3554434311	Ammo			\Default Work Unit\Ammo	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	125019664	Guns, Misc, Paintball Gun, Shoot, Fire, Exterior, Strong Detail And Mechanism SND146038 3_02	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\47\{47C55953-1B1B-3C6A-385A-37ECF2AD98C7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Mechanism\Guns, Misc, Paintball Gun, Shoot, Fire, Exterior, Strong Detail And Mechanism SND146038 3_02		38248
	164334269	Guns, Pistol, Handgun, Reload, Mag Out, Mag In SND117387 6	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\49\{493E5533-5A8C-11E7-82AB-7D5CD3CE2A11}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\Reload\Guns, Pistol, Handgun, Reload, Mag Out, Mag In SND117387 6		283416
	219633040	Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 3_03	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\1C\{1C55B281-6211-AFEE-694C-A3BBA56CB7EB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\tail\indoor\Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 3_03		340468
	230183352	Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 3	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\43\{43C02687-31D7-B90F-AEA7-690DCE5E57E8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Reload\Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 3		92830
	274391041	Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 1_03	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\71\{715E7CA2-30C1-3D7B-D8B3-0BA3B04345DB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\tail\indoor\Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 1_03		343288
	286420046	Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 4	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\1A\{1AABAFF0-F361-94C0-9409-762425CD8544}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Reload\Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 4		132290
	290201377	Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 2	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\6E\{6E702613-7539-4F9D-9742-00A4036AB8DB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Reload\Bullets, Shell, 762x39, Fall, Concrete, Harder, Distant SND49551 2		121236
	292113314	Weapons Handun Shot by unfa Id-565130 1	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\E1\{E1BA2643-D9B2-200A-A284-0F1823E5FB89}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Shot\Weapons Handun Shot by unfa Id-565130 1		98116
	310433000	Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 1_02	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\00\{00D6B99D-C150-2470-8490-B34EC5F3D6F8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\New Blend Container\Mechanism\Guns, Mechanism, Pistol, HK USP, Slide Forward 02 SND154303 1_02		38248
	406962243	Guns, Misc, Paintball Gun, Shoot, Fire, Exterior, Strong Detail And Mechanism SND146038 1_03	C:\TestWwiseUnity\TestWwiseUnity\DZ_1\.cache\CB\{CB02866F-3EC4-DB47-AAD7-C554AD0649E7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Gun\tail\indoor\Guns, Misc, Paintball Gun, Shoot, Fire, Exterior, Strong Detail And Mechanism SND146038 1_03		340468
